,Unnamed: 0.1,Unnamed: 0,User,Date Created,Number of Likes,Number of Retweets,Number of Replies,Number of Quotes,Number of Views,Tweet,Level of Engagement,class
25,11525,11525,gothspiderbitch,2023-03-25 05:25:15+00:00,65065,9953,155,475,3440763.0,"Tom Cruise is one of the most powerful members of a cult with a history of rape, violence, and trafficking. He exploits members for slave labor and romantic favors. His ex-wife spent years planning her escape to save her child and I still see people praise him on this app daily.",75648,2
26,3829,3829,crxpford,2023-03-27 13:48:14+00:00,67951,6787,253,149,4860205.0,stealing a nigga voice to make him rap and including a bar about his dead mother for a twitter video is some real sinister shit,75140,1
27,2981,2981,crxpford,2023-03-27 13:48:14+00:00,67951,6787,253,149,4860200.0,stealing a nigga voice to make him rap and including a bar about his dead mother for a twitter video is some real sinister shit,75140,1
28,913,913,jkcradio,2023-03-30 13:21:23+00:00,63373,10658,65,62,2284756.0,yall have talked more about them being trans than them being a mass murderer and that’s the issue with you niggas,74158,0
29,9179,9179,ganjanajja,2023-03-28 23:24:30+00:00,56734,6793,1272,2054,6775336.0,"hot take: post nut clarity doesn't exist, u niggas just don't actually like the women u fw 😭",66853,0
30,9216,9216,murakamirug,2023-03-29 06:22:29+00:00,60069,3077,139,118,3596497.0,he look like the black nigga from fortnite,63403,0
31,6447,6447,TeeSays_,2023-03-30 01:31:46+00:00,51368,7914,190,182,3470259.0,Blame the nigga who kept punching her in the face and breaking her shit........,59654,1
32,3246,3246,crackcobain__,2023-03-31 21:58:42+00:00,54218,4689,196,230,3610773.0,If schizophrenia was a tweet,59333,2
33,1380,1380,EliErlick,2023-03-31 15:45:00+00:00,41506,12123,218,213,1576913.0,"For Trans Day of Visibility, I’ve released almost all the queer and trans photos I’ve colorized/restored in one place! Check out some incredible moments from our community’s history going back to the 1890s at https://t.co/tAg5YkIFeb https://t.co/ZhUSYefFSl",54060,2
34,2607,2607,RealMacReport,2023-03-28 17:12:59+00:00,36767,12615,1395,845,1712725.0,"Sen. Ted Cruz blasts Mayorkas: “If you had integrity, you would resign. You're willing to let children be raped. This is a crisis. It's a disgrace.”

Mayorkas: “What the Senator said was revolting. I'm not going to address it.”

Ted Cruz: “Your refusal to do your job is… https://t.co/c9nS5OZtWv",51622,2
35,2966,2966,KEEMsofamous,2023-03-23 21:12:38+00:00,42223,6362,294,1417,1738680.0,I think Lori Harvey is on a mission to date every nigga y’all lust after and dump him to show y’all they are regular niggas 😂😂,50296,0
36,6974,6974,OhHeyJacob,2023-03-29 02:04:53+00:00,43591,5830,115,218,2658856.0,"What a fucking life led. Truly. Back when the Met stormed into the RVT for it being a gay bar, all wearing rubber gloves to “protect” themselves during the HIV crisis, Paul O’Grady was on stage as Lily and immediately quipped “Looks like we have help with the washing up!” Iconic.",49754,2
37,7000,7000,itsJeffTiedrich,2023-03-27 23:01:37+00:00,39455,5678,3914,369,1310663.0,"holy fucking shit, if you're pissing yourself with glee because a school shooter belongs to a group you hate, kindly remove yourself from polite society and slither the fuck back under your flat rock. fucking ghoul",49416,1
38,2976,2976,crackcobain__,2023-03-25 17:23:48+00:00,44958,3076,469,367,6932449.0,Niggas done bullied him into a good verse,48870,1
39,600,600,EndWokeness,2023-03-27 01:13:30+00:00,40240,6817,1354,456,2586611.0,"Black person refusing to date white people: “Not inherently racist”

White person refusing to date black people: “Yes, it is racist” https://t.co/LeYi23zLwD",48867,0
40,11226,11226,DonaldJTrumpJr,2023-03-30 22:32:18+00:00,30300,7160,8343,522,1067826.0,"This isn't just the radical left weaponizing the government to target their political enemies, this is them weaponizing the government to interfere in the 2024 election to stop Trump. The only solution is to shove it down their throats and put him back in the White House!!! #MAGA",46325,2
41,8091,8091,DonaldJTrumpJr,2023-03-30 22:32:18+00:00,30293,7158,8339,522,1067428.0,"This isn't just the radical left weaponizing the government to target their political enemies, this is them weaponizing the government to interfere in the 2024 election to stop Trump. The only solution is to shove it down their throats and put him back in the White House!!! #MAGA",46312,2
42,4687,4687,rob_sheridan,2023-03-31 16:29:11+00:00,41395,4291,43,27,1606183.0,"Say what you will about Elon, but it is truly impressive to be so uncool to your very core that despite every potential resource on the planet at your disposal you still make a service so spectacularly lame that guys who make 50 mil a year will make a point not to give you $8",45756,2
43,522,522,upblissed,2023-03-29 21:34:42+00:00,43312,2097,168,86,3208534.0,u so fuckin big and greedy nigga,45663,1
44,1410,1410,BigVeyleFan,2023-03-29 11:54:45+00:00,41664,3503,258,65,768937.0,this is so funny do these people think japan is some alternate dimension where queer and black people dont exist,45490,0
45,5883,5883,visegrad24,2023-03-26 15:47:45+00:00,36190,7217,1572,458,1605277.0,"22-year-old European boxing champion Maksym Galinichev has been killed in battle against the Russian Army near Kreminna.

He won silver at the Summer Youth Olympic Games in Buenos Aires in 2018.

This is why Russian athletes must be banned from the 2024 Paris Olympics

RIP Maksym https://t.co/fQVb2l4hPw",45437,2
46,9487,9487,CultOfMollyyy,2023-03-31 14:35:57+00:00,41727,3427,120,15,712414.0,"This is some Blaire White shit right here. To photoshop a beard onto someone and see it as an own. But not just anyone, like if it was me, it would be whatever, but to choose a dead child that you and millions of other people are celebrating her death? Truly evil.",45289,1
47,8082,8082,CultOfMollyyy,2023-03-31 14:35:57+00:00,41645,3418,120,15,710440.0,"This is some Blaire White shit right here. To photoshop a beard onto someone and see it as an own. But not just anyone, like if it was me, it would be whatever, but to choose a dead child that you and millions of other people are celebrating her death? Truly evil.",45198,1
48,10627,10627,ryuminating,2023-03-31 04:25:19+00:00,36130,6444,187,1612,1126924.0,"👩‍🦰 Are there ppl who recognize your voice on the phone?
🐥 Once when I was playing a game online, a female middle school student said, ""Wow your voice sounds just like Jimin's! Are you him?""
🐥 I pretended I didn't know and used satoori.
🐥 ""That's someone from the news right?""",44373,2
49,10559,10559,charliekirk11,2023-03-30 19:42:09+00:00,27077,7989,6590,1975,4994356.0,"Just days after 6 Christians were murdered by a trans female, including three children, White House Press Sec. Karine Jean-Pierre: 

""Our hearts go out to the trans community, as they are under attack right now."" https://t.co/WgVBVnneXb",43631,2
50,5800,5800,caseydanielee,2023-03-26 14:47:28+00:00,39666,2250,217,164,2131024.0,"Currently working in a pediatric ED. 

I always hear the nurses say “you’re so brave and strong” before poking. The other day I had to poke a kid and he said, “I’m not brave and I’m not strong.”

And fuck did I feel that. 

Then I looked at him and said, “that’s okay…",42297,2
51,7252,7252,eccozones,2023-03-24 06:21:16+00:00,37474,3902,172,41,771308.0,Seeing a real thing that real queer people do and declaring it bad rep because of its lack of 'subtlety' is so fucking weird lmao,41589,1
52,1321,1321,eccozones,2023-03-24 06:21:16+00:00,37474,3902,172,41,771322.0,Seeing a real thing that real queer people do and declaring it bad rep because of its lack of 'subtlety' is so fucking weird lmao,41589,1
53,3263,3263,crackcobain__,2023-03-31 15:14:17+00:00,36412,4034,125,327,1983548.0,Everytime somebody get killed we gotta get lectured by hood nigga twitter,40898,0
54,11222,11222,nitaliciousss,2023-03-31 04:11:31+00:00,35086,4545,226,288,2126169.0,And now they all back to their white selves and y’all just love them,40145,2
55,5487,5487,nitaliciousss,2023-03-31 04:11:31+00:00,34810,4502,226,288,2103241.0,And now they all back to their white selves and y’all just love them,39826,2
56,9984,9984,cmclymer,2023-03-26 06:55:54+00:00,31637,5641,1932,414,2661902.0,"Folks do know that David Koresh raped numerous teenage and pre-teen girls in his cult, right? He was a rapist. He called these girls his ""wives"" and raped them. Girls as young as 11. I know there's this bizarre effort to paint him as a martyr, but he raped children.",39624,2
57,2609,2609,cmclymer,2023-03-26 06:55:54+00:00,31637,5641,1932,414,2661857.0,"Folks do know that David Koresh raped numerous teenage and pre-teen girls in his cult, right? He was a rapist. He called these girls his ""wives"" and raped them. Girls as young as 11. I know there's this bizarre effort to paint him as a martyr, but he raped children.",39624,2
58,7447,7447,KandonDortch,2023-03-29 23:44:14+00:00,28048,10541,129,888,1615718.0,"The ugliest thing about me is my anger &amp; it’s crazy cause i’m so laid back, i really am a calm ass person i don’t even be doing all that. i just hate feeling disrespected or played it turns me into a whole different person, i react first &amp; think later.",39606,1
59,2044,2044,ruggyscruggy,2023-03-30 22:58:34+00:00,36058,2806,214,172,1366495.0,i find it so funny how 4chan has had like genuine supervillain evil type shit in it and white people psyop’d themselves into thinking it’s just silly lil memes meanwhile they’ll be on twitter’s dick all day every day when the worst “twitter moments” ive seen are 14 y/os baiting,39250,1
60,5507,5507,ruggyscruggy,2023-03-30 22:58:34+00:00,36038,2804,214,172,1365210.0,i find it so funny how 4chan has had like genuine supervillain evil type shit in it and white people psyop’d themselves into thinking it’s just silly lil memes meanwhile they’ll be on twitter’s dick all day every day when the worst “twitter moments” ive seen are 14 y/os baiting,39228,1
61,8089,8089,mmpadellan,2023-03-31 15:50:38+00:00,30309,4998,3527,290,1854573.0,"Conservatives have to stop acting like holding trump accountable for his crimes is some heinous act. We went almost 200 years without crime-prone Presidents in the White House.

Nixon himself was *thisclose* to getting the same treatment, but he had the decency to resign. And he… https://t.co/w6F2b0uCUn",39124,2
62,11223,11223,dazaivore,2023-03-25 13:27:15+00:00,22926,15243,58,261,893014.0,"i just want this to be spread and made known. i honestly am scared most of all for my younger siblings, 5 of them, only one is an adult legally. the rest are children. i dont want them to be taken and put into white christian homes. 
more in the replies. https://t.co/AT4a3spTYo",38488,2
63,2037,2037,dazaivore,2023-03-25 13:27:15+00:00,22926,15243,58,261,893138.0,"i just want this to be spread and made known. i honestly am scared most of all for my younger siblings, 5 of them, only one is an adult legally. the rest are children. i dont want them to be taken and put into white christian homes. 
more in the replies. https://t.co/AT4a3spTYo",38488,2
64,4079,4079,itsJeffTiedrich,2023-03-28 14:30:43+00:00,30123,5100,2782,216,553136.0,"pro tip: if your 'solution' to the Nashville school shooting has anything to do with more guns, more cops, fewer doors, armed teachers, thoughts, prayers, or how you would have solved it with your own weapon, kindly sit the fuck down and shut the fuck up, you're a useless dipshit",38221,0
65,2972,2972,godkeye,2023-03-29 15:27:57+00:00,31016,6443,242,394,3040094.0,"Man also pronounced Givenchy as a sneeze and said god bless you. No wonder Hov won't give him a verse, that nigga scared",38095,1
66,3830,3830,pray2mecca,2023-03-29 13:57:34+00:00,32702,4301,38,51,1236561.0,"I may cackle at tyrese but I’ll never play in his face, nigga been everywhere and done everything for the last 20sum years",37092,0
67,9499,9499,BeeBabs,2023-03-30 23:45:52+00:00,34988,2045,3,39,1358056.0,"The darkest curse ever coming from her brand of White Woman, like I got chills",37075,2
68,10357,10357,rj2studios,2023-03-31 01:13:14+00:00,32449,3770,266,423,4014470.0,That nigga pardi is just not respected,36908,0
69,997,997,fauxfresh,2023-03-29 23:53:51+00:00,32535,3153,410,634,4111037.0,Even the most creative broke Nigga can’t work with $25,36732,0
70,3244,3244,rj2studios,2023-03-31 01:13:14+00:00,32253,3745,264,417,3928803.0,That nigga pardi is just not respected,36679,0
71,9244,9244,BarkyBoogz,2023-03-29 14:05:53+00:00,30495,4856,286,339,2538226.0,Nigga finna have the club smellin like Jones BBQ &amp; Foot Massage,35976,0
72,6194,6194,robreiner,2023-03-30 15:57:55+00:00,17492,3044,14341,698,544640.0,"Joe Biden has had the most accomplished and successful presidency in the last 60 years. If he chooses to run for reelection, as we assume he will, we must all coalesce behind him. He beat Trump badly the first time. This time he will destroy him.",35575,2
73,4060,4060,SAMOYEDWAVE,2023-03-29 20:31:52+00:00,31829,2959,303,392,1210585.0,the most damaging thing to younger people's tech literacy has been chromebooks. regular school computers give kids invaluable space to fuck around and find new ways of fucking up a piece of shit computer that they have no attachment to.  The fuck are they gonna do to a chromebook,35483,1
74,964,964,ROTRDAE,2023-03-29 14:57:27+00:00,28021,6013,308,497,3010887.0,Nigga beefed with his nephew cause his bitch wanted more power ..that’s real?,34839,1
75,6824,6824,itszaeok,2023-03-29 15:20:27+00:00,32766,1565,56,126,987231.0,no bc dick van dyke is an insane name omg,34513,0
76,99,99,EndWokeness,2023-03-28 22:16:48+00:00,28489,4854,864,198,1388308.0,"Attack on blacks: racism
Attack on Jews: antisemitism
Attack on LGBT: homophobia
Attack on Muslims: islamophobia 
Attack on Christians: mass shooting",34405,0
77,1896,1896,9mmballpoint,2023-03-27 18:30:02+00:00,29883,3746,256,161,1501046.0,"I am so fucking done with these stupid lifted trucks and all their stupid mods. You are not hauling coal to a remote Arctic outpost, you are picking up milk at Costco on your way to your kids' karate practice. Drive a normal fucking car.",34046,0
78,3241,3241,SatsukiDaSavage,2023-03-30 21:07:50+00:00,28784,4802,80,195,1483472.0,Their kids in 5 years https://t.co/MIrf3c9mKw,33861,2
79,3256,3256,raphousetv2,2023-03-31 13:45:22+00:00,28392,2564,1311,1404,5851084.0,"BTB Savage Was Killed Hours After Posting A Picture Standing In The Blood of A Man He Killed 2 Months Ago: ""Get Back was Quick &amp; got no date""🙏🏾💔😕

This is too tragic Prayers Up🕊️ https://t.co/OcuXlwxUT0",33671,2
80,6968,6968,trans_catboy,2023-03-28 15:19:28+00:00,30923,2155,166,107,731240.0,"""this person is afab btw""

And I'm a fucking gay man, transphobic piece of shit. https://t.co/7BMJoAfmYm",33351,1
81,1005,1005,jiggyjayy2,2023-03-28 13:19:15+00:00,27896,4838,182,407,2636567.0,"Summer finna hit sis, one sundress with no panties and you up 10 niggas",33323,0
82,11234,11234,visegrad24,2023-03-29 03:13:47+00:00,27698,3624,1447,482,1820262.0,"""If Russia is afraid of depleted uranium projectiles, they can withdraw their tanks from Ukraine, this is my recommendation to them,” - White House National Security Spokesman John Kirby. https://t.co/rxf7b8twr2",33251,2
83,586,586,RaineyOvalle,2023-03-28 00:26:12+00:00,25806,6862,29,42,1405330.0,"Scapegoating Trans identity is certainly a choice considering when it’s a cis straight white boy, it’s because they were “bullied.” When it’s a racist with clear motivations they were “mentally unstable.” When it’s a cop doing it to an unarmed Black person it’s “fear for my life”",32739,2
84,662,662,RaineyOvalle,2023-03-28 00:26:12+00:00,25806,6862,29,42,1405331.0,"Scapegoating Trans identity is certainly a choice considering when it’s a cis straight white boy, it’s because they were “bullied.” When it’s a racist with clear motivations they were “mentally unstable.” When it’s a cop doing it to an unarmed Black person it’s “fear for my life”",32739,2
85,1686,1686,CobrasHates,2023-03-30 21:13:20+00:00,29286,3074,103,136,801953.0,"""heh...so the last person you had to visit was me huh?"" *cracks knuckles* 
""just so you know, you little ass nigga im not going down without a fight.""

""oh i know lowtiergod. but i must ask, what is a god to someone who doesn't believe in gods."" https://t.co/HyDlCnPTyo",32599,0
86,9127,9127,CobrasHates,2023-03-30 21:13:20+00:00,29283,3074,103,135,800356.0,"""heh...so the last person you had to visit was me huh?"" *cracks knuckles* 
""just so you know, you little ass nigga im not going down without a fight.""

""oh i know lowtiergod. but i must ask, what is a god to someone who doesn't believe in gods."" https://t.co/HyDlCnPTyo",32595,0
87,3247,3247,nojumper,2023-03-31 06:00:08+00:00,26784,2681,836,1962,7617639.0,BTB Savage shot and killed hours after posting a picture standing in the blood of the man he killed 2 months ago https://t.co/wQKaQ1eBjj,32263,0
88,3250,3250,SaycheeseDGTL,2023-03-31 05:46:43+00:00,24742,2382,1256,3552,9656524.0,BTB Savage reportedly shot and killed in Houston https://t.co/xDPdkjkIsK,31932,2
89,3075,3075,Sheer__Opulence,2023-03-24 13:27:14+00:00,24998,5452,297,847,1849466.0,Dude said he pay all the bills &amp; letting his shorty stack and dudes complaining in his comments. Yall some bitches.,31594,1
90,10479,10479,Sheer__Opulence,2023-03-24 13:27:14+00:00,24998,5452,297,847,1849362.0,Dude said he pay all the bills &amp; letting his shorty stack and dudes complaining in his comments. Yall some bitches.,31594,1
91,6199,6199,raphousetv2,2023-03-25 20:48:10+00:00,27122,983,1622,1021,4032777.0,6ix9ine's baby momma says him getting beat up was embarrassing for their daughter👊🏽😤🫢 https://t.co/R2sl3u1kkL,30748,2
92,1006,1006,DVDJXX,2023-03-28 03:33:48+00:00,28427,1694,326,283,5152145.0,Nigga in high school with 2 full sleeves and a leg tat Lmaoo,30730,0
93,4070,4070,adoseofmars,2023-03-27 13:29:39+00:00,24522,4977,136,609,1098198.0,"It’s not even what pregnancy physically does to the body that scares me. It’s the fact that women are left, cheated on, abandoned, and still being both the provider and the caretaker at the same time while the man sucks and fucks anything with a hole. I can’t do that",30244,1
94,10444,10444,villainpinks,2023-03-27 21:56:57+00:00,21855,6265,189,1640,651077.0,".@BLACKPINK and Lady Gaga will perform at the White House Dinner next month!

‘Korea and US are planning a cultural event that will be attended by famous singers from both countries Its known that the main characters are most likely to be BLACKPINK and Lady Gaga’. https://t.co/rWyyiXpGrd",29949,2
95,2624,2624,bennyjohnson,2023-03-28 17:50:12+00:00,21781,6435,1518,209,549205.0,"TED CRUZ: “You’re willing to let children be RAPED to follow political orders…”

SEC. MAYORKAS: “What the senator said was revolting. I’m not going to address it.”

TED CRUZ: “Your refusal to do your JOB is revolting!” 🔥🔥🔥

 https://t.co/wOaYpdlbXt",29943,2
96,9181,9181,dijaadijaa,2023-03-29 16:41:42+00:00,24241,2980,1054,1432,2626115.0,yall think a nigga would stay if a female spot looked like this? real shit stop tryna be fake down.,29707,1
97,5875,5875,mmpadellan,2023-03-30 01:56:39+00:00,22075,5080,1831,284,589772.0,"LOVE THIS! 🔥🔥🔥

EVERYONE should be as fired up about kids being killed in schools as Rep. Jamaal Bowman.

CALM DOWN? Bitch please.
https://t.co/Zustn48EwG",29270,1
98,9981,9981,atensnut,2023-03-31 18:18:05+00:00,21182,6865,1023,184,705809.0,"If statutes of limitation are void….what do we do about Bill Clinton?   He is/was a serial sexual predator and rapist. 

My tweet 1-6-16:

“I was 35 yo when Bill Clinton, Ark AG, raped me and Hillary tried to silence me… I am now 73 and it never goes away.”",29254,2
99,2601,2601,atensnut,2023-03-31 18:18:05+00:00,21139,6855,1021,184,703737.0,"If statutes of limitation are void….what do we do about Bill Clinton?   He is/was a serial sexual predator and rapist. 

My tweet 1-6-16:

“I was 35 yo when Bill Clinton, Ark AG, raped me and Hillary tried to silence me… I am now 73 and it never goes away.”",29199,2
100,931,931,thedominiquej1,2023-03-27 15:49:10+00:00,23537,4527,176,364,1913285.0,like i said if i was a nigga I’ll have a field day with you hoes ..,28604,1
101,9183,9183,thedominiquej1,2023-03-27 15:49:10+00:00,23536,4527,176,364,1913205.0,like i said if i was a nigga I’ll have a field day with you hoes ..,28603,1
102,10372,10372,crackcobain__,2023-03-30 21:32:10+00:00,26392,1543,98,88,3059211.0,Ain’t you the nigga that was on the news that got caught for sniffing peoples farts in the mall,28121,1
103,3294,3294,crackcobain__,2023-03-30 21:32:10+00:00,26383,1543,98,88,3058232.0,Ain’t you the nigga that was on the news that got caught for sniffing peoples farts in the mall,28112,1
104,3825,3825,ChopDon6,2023-03-29 13:16:01+00:00,22965,4598,98,168,1714932.0,If a nigga owed me $558k i would send him daily pictures of his family going and coming from work.,27829,0
105,2971,2971,ChopDon6,2023-03-29 13:16:01+00:00,22965,4598,98,168,1714853.0,If a nigga owed me $558k i would send him daily pictures of his family going and coming from work.,27829,0
106,2040,2040,allADUiswin,2023-03-30 14:28:42+00:00,22607,4521,142,376,1063490.0,Diaspora wars crazy to me cause white people are right there https://t.co/NocNfp0JZO,27646,2
107,5503,5503,allADUiswin,2023-03-30 14:28:42+00:00,22595,4517,142,374,1062480.0,Diaspora wars crazy to me cause white people are right there https://t.co/NocNfp0JZO,27628,2
108,4110,4110,No7Sammy,2023-03-28 13:30:54+00:00,21765,5205,198,237,581643.0,"Blood banks DO NOT seperate blood by gender. If you need blood, you already have a high chance of a poor outcome and fatality. Literally just recycling the same ""they're infectious, ban them"" attitude people had towards gay people during the aids crisis. Fuck yourself, Joanne. https://t.co/QeZtYEEeWH",27405,0
109,4350,4350,Fynnderella1,2023-03-26 15:43:44+00:00,15939,9839,498,1052,1776966.0,"Everyone needs to hear about the RESTRICT Act (S. 686). This bill is also currently known as the ""Tik Tok ban"" by many. But, it looks as though we were all deceived again. The Tik Tok ban is nothing but a distraction while they try to push the RESTRICT Act into law. https://t.co/wNgcZgrS0V",27328,2
110,3249,3249,scubaryan_,2023-03-31 11:30:21+00:00,24571,2096,157,208,1550497.0,he really explained the BTB Savage situation in fortnite terms wtf https://t.co/lr3802W8pY,27032,2
111,9180,9180,lynsystylz,2023-03-28 00:41:42+00:00,23208,3164,102,476,682464.0,I knew that nigga baby looked like somebody😂 https://t.co/fLdJy2Bmc5,26950,0
112,3544,3544,itsJeffTiedrich,2023-03-29 16:19:24+00:00,20496,3615,2526,174,358554.0,how fucked up is this: two days ago three children were murdered in a school shooting and we all got sad about it for an afternoon and we're doing absolutely fucking nothing about it and we've already moved on. this is why the rest of the world thinks we've lost our fucking minds,26811,1
113,8803,8803,Koreaboo,2023-03-30 01:02:14+00:00,19335,3363,270,3616,799289.0,"Park Bo Young And Park Hyung Sik To Reunite As A Married Couple For ""Strong Woman Gang Nam Soon""

https://t.co/aE6oSVqeUC",26584,2
114,10931,10931,harkshetweets,2023-03-27 21:59:02+00:00,22270,3927,93,83,1175835.0,"Gwyneth Paltrow can starve herself on Primetime and make her kids watch, Grimes can pour bleach on her kids head and subject them to her plethora of psychological issues and everyone thinks it’s cutesy while Black moms go to prison for trying to get their kids into better schools",26373,2
115,1077,1077,luhblix,2023-03-24 00:39:56+00:00,24693,1394,106,49,1897844.0,they beat his ass after the stair master workout!? Nah that nigga went into battle with 25hp,26242,1
116,11506,11506,ask_aubry,2023-03-31 01:09:50+00:00,22712,2527,509,458,1368112.0,He said he raped her to teach her a lesson that anyone could rape her. https://t.co/2hxH6tIFQ4,26206,2
117,2610,2610,ask_aubry,2023-03-31 01:09:50+00:00,22675,2521,509,458,1365745.0,He said he raped her to teach her a lesson that anyone could rape her. https://t.co/2hxH6tIFQ4,26163,2
118,5882,5882,david_r_morgan,2023-03-26 02:31:47+00:00,21653,3536,622,96,1651825.0,"So we just found out that the CIA definitively killed JFK (not that we didn’t know already), and almost no one is talking about it. In a sane society this would be the top global news story for 6 months to a year. But we don’t live in a sane society.",25907,2
119,2319,2319,david_r_morgan,2023-03-26 02:31:47+00:00,21652,3536,622,96,1651868.0,"So we just found out that the CIA definitively killed JFK (not that we didn’t know already), and almost no one is talking about it. In a sane society this would be the top global news story for 6 months to a year. But we don’t live in a sane society.",25906,2
120,5520,5520,dom_lucre,2023-03-29 18:54:36+00:00,21581,1832,2177,186,672777.0,"I’m identifying as a white woman today and liberals keep misgendering me. The bigotry is at an all time high, I’m trying to be strong but it’s hard for us women. https://t.co/UoHqb6wv99",25776,2
121,10612,10612,KatyMontgomerie,2023-03-31 16:05:43+00:00,23534,2006,137,22,860869.0,"They love treating adults they consider female as children who can't know their own minds. You'd never see this about a 21 year old trans woman, who would be described as a perverted adult man from the age of 14",25699,2
